variables=time(s),temperature(K),pressure(Pa),X<sub>H2</sub>,X<sub>H</sub>,X<sub>O2</sub>,X<sub>O</sub>,X<sub>OH</sub>,X<sub>HO2</sub>,X<sub>H2O2</sub>,X<sub>H2O</sub>,X<sub>N2</sub>,step
0.0000000000000e+00,1.0000000000000e+03,2.0265000000000e+05,2.9577500000000e-01,0.0000000000000e+00,1.4788700000000e-01,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,5.5633800000000e-01,0
4.2144530548554e-04,1.1895620664260e+03,2.3886630496425e+05,2.6263417680180e-01,1.0559522430520e-02,1.3299002361925e-01,1.1383585015051e-03,1.1186802285554e-03,1.5389117108722e-04,4.3462024633930e-06,2.9942647001328e-02,5.6145835404349e-01,5000
4.2337282243051e-04,1.6428203523814e+03,3.2258090364980e+05,1.2284095432646e-01,6.7114248875786e-02,6.9276374760971e-02,1.1633336692025e-02,1.2155611631681e-02,7.5247343212021e-05,2.0283676169715e-05,1.4271889223214e-01,5.7416505046156e-01,10000
4.2386182361762e-04,1.9872255135385e+03,3.8221026654493e+05,6.5493394120437e-02,7.1721905699461e-02,3.4975754399413e-02,1.9753290918642e-02,2.3147787444041e-02,3.4988865255516e-05,2.2116594825185e-05,1.9867191960233e-01,5.8617884235559e-01,15000
4.2417633671627e-04,2.1683533789036e+03,4.1208071860348e+05,6.1458349032760e-02,5.9239455920265e-02,2.9293599644964e-02,1.8720043318885e-02,2.7427708075455e-02,2.6744153405983e-05,1.5797779500028e-05,2.1057464992435e-01,5.9324365215041e-01,20000
4.2445357480338e-04,2.2911106882870e+03,4.3183593328823e+05,6.0370518632842e-02,5.0470418854993e-02,2.6965026711387e-02,1.6883482978134e-02,2.9490767892765e-02,2.2777907026485e-05,1.1565690523081e-05,2.1763197066318e-01,5.9815347066915e-01,25000
4.2471859005720e-04,2.3851114185478e+03,4.4670473309448e+05,5.9202250075527e-02,4.4118869511218e-02,2.5293072189924e-02,1.5310124912810e-02,3.0650335738660e-02,2.0173556096770e-05,8.9053164082418e-06,2.2342820599267e-01,6.0196806270669e-01,30000
4.2498157029865e-04,2.4619959159678e+03,4.5870032649908e+05,5.7930856424015e-02,3.9187526418943e-02,2.3926092447615e-02,1.3976369301969e-02,3.1320697861310e-02,1.8335971022714e-05,7.1248597232093e-06,2.2851006408015e-01,6.0512293263526e-01,35000
4.2524863260429e-04,2.5275049436013e+03,4.6880403041995e+05,5.6612568743038e-02,3.5175110691537e-02,2.2752564905523e-02,1.2821824615180e-02,3.1681421351137e-02,1.7004409108011e-05,5.8598083505185e-06,2.3309821693369e-01,6.0783542854243e-01,40000
4.2552453848620e-04,2.5849033971928e+03,4.7756874712293e+05,5.5275082378960e-02,3.1804173163200e-02,2.1714112244846e-02,1.1804480550813e-02,3.1828800741114e-02,1.6032484022518e-05,4.9179537975829e-06,2.3732212273462e-01,6.1023027774862e-01,45000
4.2581384848326e-04,2.6362396349627e+03,4.8533845158447e+05,5.3930432355851e-02,2.8905522378066e-02,2.0774613522683e-02,1.0895439734396e-02,3.1820484646688e-02,1.5328609331507e-05,4.1907826012711e-06,2.4126761513126e-01,6.1238637283913e-01,50000
4.2612172893914e-04,2.6829000785678e+03,4.9234398164867e+05,5.2582871790400e-02,2.6367899713359e-02,1.9909643647290e-02,1.0073897370043e-02,3.1693346509414e-02,1.4831038731826e-05,3.6128813487602e-06,2.4499635007883e-01,6.1435754697058e-01,55000
4.2645489202355e-04,2.7258936810807e+03,4.9875157820052e+05,5.1231920349517e-02,2.4113189285380e-02,1.9101277267619e-02,9.3240253757252e-03,3.1471883213920e-02,1.4495610312564e-05,3.1424886796021e-06,2.4855671077817e-01,6.1618335563068e-01,60000
